program_type,institution,campus,within_jabodetabek,city,country,major,academic_field,applications_count,acceptances_count,received_scholarship?,scholarship_description,decision_factors,additional_comments
Undergraduate university program (S1/Bachelor's),Xiamen University,Not Specified,False, Xiamen,China (Mainland), Finance,Business & Economics,5,4,,,"['Academic reputation', 'Cost/expenses', 'Location/country preference', 'Family considerations', 'Campus/student life', 'Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Beijing Foreign Studies University,Not Specified,False, Beijing,China (Mainland), Finance,Business & Economics,2,2,,,"['Academic reputation', 'Cost/expenses', 'Family considerations', 'Career opportunities', 'Campus/student life']",
Undergraduate university program (S1/Bachelor's),Swiss German University,Not Specified,True, Tangerang,Indonesia, Cybersecurity,Computing & Data,4,4,,,"['Location/country preference', 'Career opportunities', 'Campus/student life', 'Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Institut Teknologi Bandung,Ganesha,False, Bandung,Indonesia, Management,Business & Economics,2,1,True,,"['Academic reputation', 'Cost/expenses', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Campus/student life', 'Personal interest/passion']",Nice
Undergraduate university program (S1/Bachelor's),Universitas Indonesia,Depok,True, Depok,Indonesia, Psychology,Medicine & Health Sciences,4,2,False,,"['Academic reputation', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Campus/student life', 'Personal interest/passion']","Loving it by far, still amazed by how much I can achieve, and certainly excited for what the future holds"
Undergraduate university program (S1/Bachelor's),Raffles Jakarta,Not Specified,True, Jakarta,Indonesia, Fashion Design,"Media, Arts & Design",2,2,True,,"['Career opportunities', 'The choice to continue studying abroad on the third year']",
Undergraduate university program (S1/Bachelor's),The Chinese University of Hong Kong,Shenzhen,False, Shenzhen,China (Mainland), Computer Science and Engineering,Computing & Data,5,4,True,50% of Tuition for 4 Years,"['Academic reputation', 'Scholarship/financial aid', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Campus/student life']",
Undergraduate university program (S1/Bachelor's),Universitas Prasetiya Mulya,BSD,True, Tangerang Selatan,Indonesia, Finance,Business & Economics,3,3,True,"90% of Entrance Fee , 30% of Entrance Fee","['Academic reputation', 'Location/country preference', 'Career opportunities', 'Campus/student life', 'Personal interest/passion']",-
Undergraduate university program (S1/Bachelor's),Universitas Prasetiya Mulya,BSD,True, Tangerang,Indonesia, Business,Business & Economics,1,1,,,"['Academic reputation', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Personal interest/passion']","For locations, its not that far and the program is quite interesting"
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,Alam Sutera,True, Tangerang,Indonesia, International Business Management,Business & Economics,1,1,True,Guess,"['Scholarship/financial aid', 'Location/country preference', 'Career opportunities', 'Campus/student life', 'Personal interest/passion']",I hope I choose the right major
Undergraduate university program (S1/Bachelor's),All Asia Aviation Academy,Not Specified,False, Iba,Phillipines, Aviation Technique,Transportation,1,1,False,,"['Cost/expenses', 'Career opportunities', 'Personal interest/passion']",I wish I could directly get a job after graduating.
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,Alam Sutera,True, Tangerang,Indonesia, Global Business Marketing,Business & Economics,1,1,True,OSIS Scholarship 50% of Entrance Fee,"['Scholarship/financial aid', 'Location/country preference', 'Family considerations']",
Undergraduate university program (S1/Bachelor's),Northwestern Polytechnical University,Not Specified,False, Xi'an,China (Mainland), Biotechnology,Natural Sciences & Mathematics,4,4,False,,"['Academic reputation', 'Cost/expenses', 'Location/country preference', 'Family considerations']",-
Undergraduate university program (S1/Bachelor's),Ritsumeikan Asia Pacific University,Beppu,False, Beppu,Japan, Finance and Accounting,Business & Economics,1,1,True,50% Free Tuition for 4 Years,"['Cost/expenses', 'Location/country preference', 'Career opportunities', 'Personal interest/passion']",-
Undergraduate university program (S1/Bachelor's),Sichuan University,Not Specified,False, Chengdu,China (Mainland), Business,Business & Economics,5,4,True,100% Free Tuition,"['Academic reputation', 'Scholarship/financial aid', 'Location/country preference']","I researched different cities, and Chengdu stood out to me most for its living conditions, affordable cost, and also the balance between nature and tech. + im beyond excited to leave this country."
Language school,Kyoto Minsai Japanese Language School,Nishikyogoku Saiin,False, Kyoto,Japan, Mechanical Engineering,Engineering,1,1,False,,"['Location/country preference', 'Campus/student life', 'Personal interest/passion']","Kyoto is known to be harsh on all tourist even including japanese outside kyoto, so i hope it will work well"
Undergraduate university program (S1/Bachelor's),Institut Pertanian Bogor,Not Specified,True, Bogor,Indonesia, Agricultural and Bio-system Engineering,Engineering,2,1,False,,"['Academic reputation', 'Cost/expenses', 'Location/country preference', 'Family considerations', 'Personal interest/passion']",Farmer life
Undergraduate university program (S1/Bachelor's),Universitas Bunda Mulia,Alam Sutra,True, Tangerang,Indonesia, English Language,Education & Teaching,2,2,True,,"['Academic reputation', 'Cost/expenses', 'Location/country preference', 'Family considerations']",
Undergraduate university program (S1/Bachelor's),Zhejiang University,Hangzhou,False, Hangzhou,China (Mainland), Management,Business & Economics,2,1,False,,"['Academic reputation', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Campus/student life', 'Personal interest/passion']",-
Undergraduate university program (S1/Bachelor's),Trisakti University,Trisakti School of Management,True, Jakarta,Indonesia, Hospitality Management,Business Management and Service Industry,1,1,False,,"['Academic reputation', 'Family considerations', 'Career opportunities']","Its the most optimal choice because Trisakti offers international programs to many other countries too, which aligns with my aim which is to study in china too"
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,Alam Sutera,True, Jakarta,Indonesia, Artificial Intelligence,Computing & Data,1,1,True,100% of Building Fee (DP3),"['Academic reputation', 'Location/country preference', 'Family considerations']",
Pre-university/foundation program,Shanghai Jiao Tong University,Not Specified,False, Shanghai,China (Mainland), Humanities & Social Sciences,Business & Economics,4,4,False,,"['Academic reputation', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Campus/student life', 'Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Universitas Multimedia Nusantara,Gading Serpong,True, Tangerang,Indonesia, Film,"Media, Arts & Design",1,1,True,100% Entrance Fee,"['Academic reputation', 'Cost/expenses', 'Family considerations', 'Campus/student life', 'Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,Kemanggisan,True, Jakarta,Indonesia, Artificial Intelligence,Computing & Data,1,1,,,['Academic reputation'],Good
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,Alam Sutera,True, Tangerang Selatan,Indonesia, Artificial Intelligence,Computing & Data,1,1,True,50% of Entrance Fee,"['Academic reputation', 'Scholarship/financial aid', 'Cost/expenses', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Personal interest/passion']",It is very interesting major that is currently relevant and I hope that it will continue to do so.
Undergraduate university program (S1/Bachelor's),Shih Chien University,Taipei,False, Taipei,Taiwan, Industrial Design,Business & Economics,1,1,True,,['Academic reputation;Location/country preference;Career opportunities;Campus/student life;Personal interest/passion'],
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,Alam Sutera,True, Tangerang,Indonesia, International Business Management,Business & Economics,2,2,True,100% Entrance Fee Free,"['Cost/expenses', 'Location/country preference', 'Career opportunities']",
Pre-university/foundation program,Southwestern University of Finance and Economics,Not Specified,False, Chengdu,China (Mainland), Chinese Business,Business & Economics,2,1,,,['Family considerations'],
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,Alam Sutera,True, Tangerang,Indonesia, International Business Management,Business & Economics,1,1,True,50% Scholarship Uang Pangkal,['Location/country preference'],
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,Alam Sutera,True, Tangerang,Indonesia, Management,Business & Economics,2,2,True,100% of Entrance Fee,"['Location/country preference', 'Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),National Taiwan University,Not Specified,False, Taipei,Taiwan, Biotechnology and Food Nutrition,Medicine & Health Sciences,2,2,,,"['Academic reputation', 'Scholarship/financial aid', 'Cost/expenses', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Campus/student life', 'Personal interest/passion']",I hope I didn't make the wrong choice
Undergraduate university program (S1/Bachelor's),Beijing Normal-Hong Kong Baptist University,Not Specified,False, Zhuhai,China (Mainland), Food Science and Technology,Natural Sciences & Mathematics,2,1,True,100% Tuition Fee and Accommodation (Maintain Gpa Above 3.0),"['Cost/expenses', 'Location/country preference', 'Family considerations', 'Career opportunities']",
Undergraduate university program (S1/Bachelor's),Northwestern Polytechnical University,Not Specified,False, Xi'an,China (Mainland), Biotechnology,Medicine & Health Sciences,7,5,True,"Xi'an Belt and Road Scholarship (100% Tuition + Living Allowance 1,500 RMB/months for 10 Months)","['Academic reputation', 'Scholarship/financial aid', 'Cost/expenses', 'Location/country preference', 'Family considerations', 'Personal interest/passion']",-
Undergraduate university program (S1/Bachelor's),Universitas Padjadjaran,Jatinangor,False, Jatinangor,Indonesia, Accounting,Business & Economics,5,3,False,,"['Academic reputation', 'Cost/expenses', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Asia Pacific University of Technology and Innovation,Not Specified,False, Kuala Lumpur,Malaysia, Animation,"Media, Arts & Design",2,2,True,,"['Family considerations', 'Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Xi'an Jiao Tong Liverpool University,Suzhou,False, Suzhou,China (Mainland), Financial Mathematics,Business & Economics,2,1,False,,"['Academic reputation', 'Cost/expenses', 'Location/country preference']",My greatest enemy is the Great Firewall
Pre-university/foundation program,Universitas Prasetiya Mulya,BSD,True, Tangerang,Indonesia, Business,Business & Economics,3,2,False,,"['Academic reputation', 'Career opportunities', 'Campus/student life', 'Personal interest/passion', 'W CONNECTIONNN..']","Peak universityyyy, DIDN’T REGRET ITTT"
Undergraduate university program (S1/Bachelor's),Tamkang University,New Taipei,False, New Taipei,Taiwan, International Business,Business & Economics,2,1,False,,"['Academic reputation', 'Cost/expenses', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Campus/student life']",-
Undergraduate university program (S1/Bachelor's),Southeast University,Not Specified,False, Nanjing,China (Mainland), Mechanical Engineering,Engineering,2,1,True,Partial Scholarship for Tuition,"['Academic reputation', 'Scholarship/financial aid', 'Cost/expenses', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Campus/student life', 'Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Jiangnan University,Lihu,False, Wuxi,China (Mainland), Industrial Design,"Media, Arts & Design",4,2,False,,"['Cost/expenses', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Campus/student life', 'Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Institut Teknologi Bandung,Cirebon,False, Cirebon,Indonesia, Biological Sciences,Medicine & Health Sciences,12,9,False,,"['Academic reputation', 'Scholarship/financial aid', 'Career opportunities', 'Campus/student life']",I'm gonna be a great scientists
Undergraduate university program (S1/Bachelor's),Institut Teknologi Bandung,Jatinangor,True, Bandung,Indonesia, Chemical Engineering,Engineering,4,3,False,,['Academic reputation'],-
Undergraduate university program (S1/Bachelor's),Universitas Multimedia Nusantara,Not Specified,True, Tangerang,Indonesia, Film,"Media, Arts & Design",3,3,True,100% Entrance Fee,"['Family considerations', 'Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,Alam Sutera,True, Tangerang,Indonesia, International Business Management,Business & Economics,2,2,True,50% of Entrance Fee,"['Academic reputation', 'Scholarship/financial aid', 'Campus/student life', 'Personal interest/passion']",
